;init;p0;p1;r1
title;init;p0;p1;r1
block;44990667;44990970;44991273;44991274
timestamp;1689167889;1689168899;1689169907;1689169908
signer.USDC;0;0;0;0
user.USDC;20000;20000;20000;20000
vault.user.shares;9969.99999;9969.99999;9969.99999;9969.99999
vault.signer.shares;996.999;996.999;996.999;996.999
vault.user.USDC;9969.999999;9969.999999;9969.999999;9969.999999
vault.signer.USDC;996.999;996.999;996.999;996.999
vault.sharePrice;1;1;1;1
vault.totalSupply;10966.99999;10966.99999;10966.99999;10966.99999
vault.totalAssets;10967.000001;10967.000001;10967.000001;10967.000001
insurance.USDC;32.999998;32.999998;32.999998;32.558121
strategy.USDC;0.002197;0.002197;0.002197;0.001688
strategy.borrowAssetsBalances;0;0;0;0
strategy.rewardAssetsBalances;;;;
strategy.liquidity;197401528.968267;197401528.968267;197401528.968267;181588906.140734
strategy.totalAssets;10966.999999;10966.999999;10966.999999;10966.558122
strategy.investedAssets;10966.997802;10966.997802;10966.997802;10966.556434
gauge.balance;0;0;0;0
vault.USDC;0.000002;0.000002;0.000002;0.441879
splitter.USDC;0;0;0;0
splitter.totalAssets;10966.999999;10966.999999;10966.999999;10966.558122
d-converter.collaterals;6309.543482;6309.549021;6309.554549;10853.423118
d-converter.amountsToRepay;5211.991819;5211.998334;5212.004836;8965.042414
d-converter.healthFactors;1.1500000001030268;1.1499650747938677;1.1498703655231415;1.1499246343106948
d-converter.platformAdapters;aave3;aave3;aave3;aave3
d-converter.borrowAssets;USDT;USDT;USDT;USDT
d-converter.prices;1 1.000046;1 1.000076;1 1.000158;1 1.000158
r-converter.collaterals;0;0;0;0
r-converter.amountsToRepay;0;0;0;0
r-converter.healthFactors;;;;
r-converter.platformAdapters;;;;
r-converter.collateralAssets;USDT;USDT;USDT;USDT
r-converter.prices;1 1.000046;1 1.000076;1 1.000158;1 1.000158
converter.u.locked;1097.311912;1097.154576;1096.726217;1886.964228
converter.%.locked;0.10005579574176567;0.10004144943010472;0.1000023905261236;0.17205837766280127
pair.tokenA;0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174;0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174;0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174;0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174
pair.tokenB;0xc2132D05D31c914a87C6611C10748AEb04B58e8F;0xc2132D05D31c914a87C6611C10748AEb04B58e8F;0xc2132D05D31c914a87C6611C10748AEb04B58e8F;0xc2132D05D31c914a87C6611C10748AEb04B58e8F
pair.tickSpacing;1;1;1;1
pair.lowerTick;-1;-1;-1;-2
pair.upperTick;0;0;0;-1
pair.rebalanceTickRange;0;0;0;0
pair.totalLiquidity;197401528968267;197401528968267;197401528968267;181588906140734
univ3.rebalanceEarned0;;;;
univ3.rebalanceEarned1;;;;
univ3.rebalanceLost;;;;
pool.token0;;;;
pool.token1;;;;
pool.amount0;;;;
pool.amount1;;;;
fuseStatusA;1;1;1;1
fuseStatusB;1;1;1;1
withdrawDone;0;0;0;0
rebalanced.loss;0;0;0;0
rebalanced.covered;0;0;0;0
fixPriceChanges.investedAssetsBefore;;;;
fixPriceChanges.investedAssetsAfter;;;;
